;created_at;sentiment_word_count;sentiment_comparative;sentiment_score;sentiment_positive_count;sentiment_tokens;text;_msgid;retweet_count;sentiment_negative_count
0;Tue Jan 31 11:37:24 +0000 2017;13.0;7.6923076923076925;2.0;1.0;26.0;DAILY MAIL - \nBrexit an 'unprecedented opportunity' says top City group\n       \nhttps://t.co/aUwFCPrBl6\n       #PaginaNuova #Press;98247e08.ece7e;0.0;0.0
1;Tue Jan 31 11:38:13 +0000 2017;7.0;13.333333333333334;2.0;1.0;15.0;Brexit an 'unprecedented opportunity' says top City group\n       \nhttps://t.co/FLc1Y9RcjT;174fe7a.f739e18;0.0;0.0
2;Tue Jan 31 11:39:10 +0000 2017;7.0;13.333333333333334;2.0;1.0;15.0;Brexit an 'unprecedented opportunity' says top City group\n       :\nhttps://t.co/XdImxeWRYx;eadc7139.9a35d;0.0;0.0
3;Tue Jan 31 11:37:18 +0000 2017;6.0;20.0;5.0;4.0;25.0;"I support BREXIT, CALEXIT &amp; TEXIT. I support ALL ""exits"", esp. if it benefits white people. Cut the dead weight and let's be GREAT again.";f69b47e3.525908;0.0;2.0
4;Tue Jan 31 11:38:47 +0000 2017;6.0;16.0;4.0;3.0;25.0;"RT @Titanic_Britain: I have no tolerance for intolerance so I have no tolerance for Islam. So you support Brexit then? Your bio &amp; action… ";80f96bf.f608b98;0.0;2.0
5;Tue Jan 31 11:55:45 +0000 2017;6.0;-29.629629629629626;-8.0;0.0;27.0;RT @ChrisRaple: Trump is threat to EU. UK is threat now to UK due to insane Govt bullied by Brexiter MPs. Gove, Johnson,  Davis, IB… ;37fdf0ac.16324;0.0;4.0
6;Tue Jan 31 11:47:49 +0000 2017;6.0;-28.000000000000004;-7.0;1.0;25.0;RT @mikelallen6: The labour party who are so upset about an imaginary Muslim ban must be reminded they supported an illegal war in I… ;8ad9c2eb.bac44;0.0;4.0
7;Tue Jan 31 11:48:03 +0000 2017;6.0;-28.000000000000004;-7.0;1.0;25.0;RT @mikelallen6: The labour party who are so upset about an imaginary Muslim ban must be reminded they supported an illegal war in I… ;5579f538.3a154c;0.0;4.0
8;Tue Jan 31 11:48:06 +0000 2017;6.0;-28.000000000000004;-7.0;1.0;25.0;RT @mikelallen6: The labour party who are so upset about an imaginary Muslim ban must be reminded they supported an illegal war in I… ;54b34209.e2c6ec;0.0;4.0
9;Tue Jan 31 11:48:12 +0000 2017;6.0;-28.000000000000004;-7.0;1.0;25.0;RT @mikelallen6: The labour party who are so upset about an imaginary Muslim ban must be reminded they supported an illegal war in I… ;e1720e51.8f633;0.0;4.0
10;Tue Jan 31 12:03:41 +0000 2017;8.0;0.0;0.0;1.0;24.0;@LouiseMensch ...and, the #Remainers / #snowflake  are so busy moaning about #Trump  they've forgotten about #brexit  for a bit ... Lol;d81661ca.c51dc;0.0;2.0
11;Tue Jan 31 11:58:38 +0000 2017;6.0;-73.91304347826086;-17.0;1.0;23.0;fuck #Brexit fuck #Trump fuck all of it..I just want to get on with my life without this fucking stupid #Nazi (nati… https://t.co/7jJv7NZVIv;a37ca39e.b5bc3;0.0;5.0
12;Tue Jan 31 12:01:48 +0000 2017;6.0;-59.09090909090909;-13.0;1.0;22.0;@theresa_may fuck #Brexit fuck #Trump fuck all of it. Wish get on with my life without this  stupid #Nazi (national… https://t.co/GEiHcaeNDQ;541b8dd0.eb63d4;0.0;4.0
13;Tue Jan 31 12:02:26 +0000 2017;6.0;-61.904761904761905;-13.0;1.0;21.0;@Number10gov @EndaKennyTD fuck #Brexit fuck #Trump fuck all of it. Wish get on with my life without this  stupid… https://t.co/EG81VZduYI;20ac740d.7ecadc;0.0;4.0
14;Tue Jan 31 12:02:11 +0000 2017;5.0;-26.923076923076923;-7.0;1.0;26.0;RT @UptonConor: Looks like the silly Brits are damned if they do and damned if they don't over the the Trump shenanigans and Brexit  #Brexi…;23cd0259.38b73e;0.0;3.0
15;Tue Jan 31 12:15:28 +0000 2017;40.0;0.0;0.0;0.0;52.0;Brexit white paper to be published on Thursday, sources say https://t.co/r2l14rGWuT                                         EMOCIÒ;76667009.a436a;0.0;0.0
16;Tue Jan 31 12:11:50 +0000 2017;6.0;-15.0;-3.0;1.0;20.0;Newsdesk | IE :  NI economy not acceptable Brexit casualty, warns would-be Unite union leader - Tariffs and… https://t.co/BzFYJaLWiE;c5e79143.3d124;0.0;2.0
17;Tue Jan 31 12:12:01 +0000 2017;6.0;-15.0;-3.0;1.0;20.0;Newsroom | IE :  NI economy not acceptable Brexit casualty, warns would-be Unite union leader - Tariffs and… https://t.co/Izh1XfESYt;44a47f02.9cdd;0.0;2.0
18;Tue Jan 31 12:10:28 +0000 2017;5.0;0.0;0.0;0.0;28.0;RT @europa_nexus: When you voted #Brexit you thought it was just a simple case of leaving the EU.     Instead you naively opened the… ;9214dbfe.4f5d48;0.0;0.0
19;Tue Jan 31 12:11:21 +0000 2017;5.0;0.0;0.0;0.0;28.0;RT @europa_nexus: When you voted #Brexit you thought it was just a simple case of leaving the EU.     Instead you naively opened the… ;96ff7f87.c6b9e;0.0;0.0
20;Tue Jan 31 12:21:43 +0000 2017;8.0;15.384615384615385;4.0;5.0;26.0;Thank you Mr Banks but why should I pay for doing what you want. I don't want Brexit  so please pay my share yourse… https://t.co/G4V85BSOmw;8db259c.a26e4a8;0.0;2.0
21;Tue Jan 31 12:25:34 +0000 2017;7.0;-4.0;-1.0;2.0;25.0;Well - pollution knows no boundaries.  So makes good sense to me.  You wouldn't want to live next door to the Dirty… https://t.co/gJFwcOgPju;467e59fd.ec1ad8;0.0;3.0
22;Tue Jan 31 12:25:21 +0000 2017;7.0;0.0;0.0;0.0;21.0;@SKZCartoons        my new source for just the right response to #brexit @theresa_may @POTUS https://t.co/r5i6knR1HK;e4a40339.3d81f;0.0;0.0
23;Tue Jan 31 12:23:20 +0000 2017;7.0;10.0;2.0;2.0;20.0;@JuliaHB1 No. I have a better idea.  #trumppetition with most signatories wins. No arguments. No dissent. No debate… https://t.co/AKmu8nONXd;3306ac10.0b3d54;0.0;4.0
24;Tue Jan 31 12:27:11 +0000 2017;6.0;-28.000000000000004;-7.0;1.0;25.0;RT @mikelallen6: The labour party who are so upset about an imaginary Muslim ban must be reminded they supported an illegal war in I… ;7fe6b66d.d0f108;0.0;4.0
25;Tue Jan 31 12:31:53 +0000 2017;7.0;-6.896551724137931;-2.0;0.0;29.0;#bbcdp Get real daily politics . . . .17.5 million UK voters voted for Brexit . . . .after being ignored for 43 yrs, UK 'is' leaving the EU!;cd8b6c6a.9af38;0.0;1.0
26;Tue Jan 31 12:27:23 +0000 2017;7.0;-15.789473684210526;-3.0;3.0;19.0;Like Brexit. Scared, irrational and wrong. In Ban on Migrants, Trump Supporters See a Promise Kept, via @nytimes https://t.co/9i51cEHSSp;d5521686.4411c8;0.0;4.0
27;Tue Jan 31 12:36:56 +0000 2017;6.0;-3.7037037037037033;-1.0;2.0;27.0;RT @Molon_Labe_Libs: Sharia loving piece of shit is a wolf in sheep's clothing.  DJT will not shy away from his support of Brexit when h… ;361bcc84.777604;0.0;2.0
28;Tue Jan 31 12:28:54 +0000 2017;6.0;-28.000000000000004;-7.0;1.0;25.0;RT @mikelallen6: The labour party who are so upset about an imaginary Muslim ban must be reminded they supported an illegal war in I… ;d9101e77.8496e;0.0;4.0
29;Tue Jan 31 12:30:27 +0000 2017;6.0;16.0;4.0;3.0;25.0;"RT @Titanic_Britain: I have no tolerance for intolerance so I have no tolerance for Islam. So you support Brexit then? Your bio &amp; action… ";72371928.42c158;0.0;2.0
30;Tue Jan 31 12:40:45 +0000 2017;8.0;-52.0;-13.0;1.0;25.0;You dick heads protesting voted leave brexit to get rid of smelly migrants now your saying they are welcome you fucking idiots drop dead ✌🏿️;1c88fd63.804f73;0.0;6.0
31;Tue Jan 31 12:40:16 +0000 2017;6.0;0.0;0.0;2.0;24.0;@simon_schama  Am I missing something? The UK voted Brexit to keep foreigners out.  Now, thanks to Trump, they protest that they're welcome.;66222198.814f4;0.0;2.0
32;Tue Jan 31 12:45:28 +0000 2017;6.0;16.666666666666664;4.0;3.0;24.0;@sillytuna @CNN Sorry.  You didn't convince me.  And in all fairness, I don't think they should care what I think about Brexit.;18304782.ae3dc8;0.0;1.0
33;Tue Jan 31 12:43:46 +0000 2017;6.0;-31.818181818181817;-7.0;1.0;22.0;RT @HongKongHermit: What's that? The Leave campaign shared fascist propaganda? It's almost as if Brexit really was just about racism an… ;87694622.148888;0.0;4.0
34;Tue Jan 31 12:38:03 +0000 2017;5.0;-15.384615384615385;-4.0;1.0;26.0;RT @GMegalogenis: @JmccarthyAus Risk for Oz is we miss next big wave of skilled migrants from US + UK, because govt. pretends to be for Tru…;f30fc18e.3679f;0.0;3.0
35;Tue Jan 31 12:48:07 +0000 2017;18.0;0.0;0.0;0.0;29.0;@UKLabour\n https://t.co/3USqyjViKm                   \n\nSurely we need the EU now more than ever?;f9c7a99c.3f1f78;0.0;0.0
36;Tue Jan 31 12:55:55 +0000 2017;7.0;-19.047619047619047;-4.0;3.0;21.0;@CarolineLucas 31% wanted Brexit before money and vested interests started lobbying, UK was lied to..... Thank You for fighting this wrong;bbab481e.c31f38;0.0;4.0
37;Tue Jan 31 12:47:35 +0000 2017;6.0;4.761904761904762;1.0;3.0;21.0;Agreed, an unprecedented opportunity for a few who will get richer when the poor will get poorer.  Thank you… https://t.co/lkPAUrvNS5;a95c5104.db735;0.0;2.0
38;Tue Jan 31 12:49:45 +0000 2017;6.0;-20.0;-4.0;2.0;20.0;@acgrayling #brexit with no plan, no analysis of consequence, no mandate to unravel EU. MPs rise against this madness #MPsAgainstArticle50;c5296dae.01b2b;0.0;4.0
39;Tue Jan 31 12:51:29 +0000 2017;6.0;-26.31578947368421;-5.0;2.0;19.0;@theJeremyVine @realDonaldTrump Brexit voter want to exclude EU citizens - US want to exclude potential terrorists. Brexit position worse.;daa171e8.320ca;0.0;4.0
40;Tue Jan 31 12:57:22 +0000 2017;8.0;24.137931034482758;7.0;4.0;29.0;"Nudes In My DM's If Possible ?\n\n🎈ITS MY BIRTHDAY ! 🎈 \n \nWish Me A Happy One So I Can Feel Appreciated &amp; Accepted By The World\n  \n#Brexit";f57f1da5.7db4b;0.0;0.0
41;Tue Jan 31 12:58:04 +0000 2017;6.0;-30.76923076923077;-8.0;1.0;26.0;RT @FUCK0FFEE: Any fucking excuse to put the prices up. Brexit my ass.\nThe impact is cos of shit like this.\nPs. No you are not an… ;dcb4e28f.a108d;0.0;4.0
42;Tue Jan 31 13:02:44 +0000 2017;6.0;4.166666666666666;1.0;2.0;24.0;"RT @RammyRanter: @ChukaUmunna @HoCpetitions no thanks I'm one of silent majority &amp; 17.4M who recognise threat of Islam to peace in West!  #…";66f08862.d23cc8;0.0;2.0
43;Tue Jan 31 12:58:58 +0000 2017;6.0;-18.181818181818183;-4.0;2.0;22.0;RT @Jenny_Nice: @acgrayling #brexit with no plan, no analysis of consequence, no mandate to unravel EU. MPs rise against this madness #MPsA…;34f8285e.ee5248;0.0;4.0
44;Tue Jan 31 13:06:55 +0000 2017;6.0;-31.818181818181817;-7.0;1.0;22.0;RT @HongKongHermit: What's that? The Leave campaign shared fascist propaganda? It's almost as if Brexit really was just about racism an… ;c30963de.1d134;0.0;4.0
45;Tue Jan 31 13:09:23 +0000 2017;10.0;-120.0;-30.0;1.0;25.0;Fuck Brexit. Fuck Trump. Fuck Putin. Fuck Le Pen. Fuck Wilders. Fuck Farage. And if you support them, Fuck You. We're fighting to the death.;3ebda269.11ffae;0.0;9.0
46;Tue Jan 31 13:09:23 +0000 2017;7.0;-38.095238095238095;-8.0;0.0;21.0;Newsdesk | UK :  Hard Brexit means losing EU doctors, surgeons - Hard Brexit means losing EU doctors, surgeons… https://t.co/kmSYGNtyTI;32245571.47e52a;0.0;4.0
47;Tue Jan 31 13:07:26 +0000 2017;6.0;-44.827586206896555;-13.0;0.0;29.0;@tim_forte @redflag3rd I see your view - you can't deny it is a hard one. Public are in uproar - if Brexit failed - riots? Yet INs angry too;b946f967.229ef8;0.0;6.0
48;Tue Jan 31 13:13:56 +0000 2017;6.0;-11.538461538461538;-3.0;1.0;26.0;"#Article50  Keir Starmer:""For the Labour Party this is a very difficult Bill"".  Yes, because you have no policy &amp; you fail to oppose Brexit.";56f431f9.d4227;0.0;3.0
